route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
TRENCH,3,FFFFFF,72BF44,YRT,8301,,,083A
WESTON,3,FFFFFF,C4A006,YRT,165,,,165
WOODBINE,3,FFFFFF,00AEEF,YRT,24,,,024
MAJOR MACKENZIE,3,FFFFFF,BD5B5E,YRT,25,,,025
MAPLE,3,FFFFFF,3EC7F4,YRT,26,,,026
JANE,3,FFFFFF,806A50,YRT,20,,,020
VELLORE,3,FFFFFF,00838B,YRT,21,,,021
THORNHILL WOODS,3,FFFFFF,F58220,YRT,23,,,023
ST AUGUSTINE SS,3,FFFFFF,626469,YRT,405,,,405
MARKVILLE SS,3,FFFFFF,A3248F,YRT,404,,,404
ST BROTHER ANDRE SS VIA RAYMERVILLE,3,FFFFFF,A3248F,YRT,403,,,403
MAJOR MACKENZIE,3,FFFFFF,0058A9,YRT,4,,,004
ST BROTHER ANDRE SS VIA BOX GROVE,3,FFFFFF,626469,YRT,401,,,401
KENNEDY,3,FFFFFF,2A2A86,YRT,8,,,008
LANGSTAFF SS VIA SHAFTSBURY,3,FFFFFF,626469,YRT,443,,,443
OUR LADY QUEEN OF THE WORLD SS,3,FFFFFF,A3248F,YRT,408,,,408
MARTIN GROVE,3,FFFFFF,0058A9,YRT,7,,,007
VIVA BLUE B,3,FFFFFF,A3248F,YRT,60102,,,blue B
RICHMOND HILL SS VIA GAMBLE,3,FFFFFF,626469,YRT,442,,,442
DAVIS,3,FFFFFF,0058A9,YRT,55,,,055
BAYVIEW,3,FFFFFF,806A50,YRT,54,,,054
MULOCK,3,FFFFFF,00AEEF,YRT,57,,,057
GORHAM - EAGLE,3,111111,FBB034,YRT,56,,,056
KESWICK,3,FFFFFF,DC62A5,YRT,51,,,051
QUEENSWAY,3,FFFFFF,684287,YRT,50,,,050
HOLLAND LANDING,3,FFFFFF,A54686,YRT,52,,,052
ST KATHARINE DREXEL SS,3,FFFFFF,A3248F,YRT,414,,,414
STOUFFVILLE DISTRICT SS,3,FFFFFF,626469,YRT,415,,,415
MARKHAM DISTRICT SS VIA NINTH LINE,3,FFFFFF,626469,YRT,416,,,416
BILL HOGARTH SS,3,FFFFFF,636569,YRT,417,,,417
MARKHAM DISTRICT SS VIA CARLTON,3,FFFFFF,626469,YRT,410,,,410
MARKHAM DISTRICT SS VIA BOX GROVE,3,FFFFFF,626469,YRT,411,,,411
THORNLEA SS,3,FFFFFF,626469,YRT,412,,,412
ST ROBERT SS VIA JOHN,3,FFFFFF,626469,YRT,413,,,413
DR G.W. WILLIAMS SS VIA STONE,3,FFFFFF,626469,YRT,426,,,426
PIERRE ELLIOTT TRUDEAU SS,3,FFFFFF,626469,YRT,418,,,418
BAYVIEW EXPRESS,3,FFFFFF,A3248F,YRT,391,,,391
ST THERESA SS VIA MILL,3,FFFFFF,626469,YRT,440,,,440
VALLEYMEDE,3,FFFFFF,0095DA,YRT,82,,,082
TRENCH,3,FFFFFF,72BF44,YRT,83,,,083
ELGIN MILLS,3,FFFFFF,F37053,YRT,80,,,080
INSPIRATION,3,FFFFFF,806A50,YRT,81,,,081
NEWKIRK - RED MAPLE,3,FFFFFF,B72055,YRT,86,,,086
AUTUMN HILL,3,FFFFFF,C4A006,YRT,87,,,087
RUTHERFORD,3,FFFFFF,A3238E,YRT,85,,,085
CARDINAL CARTER SS VIA BAYVIEW,3,FFFFFF,626469,YRT,429,,,429
DR G.W. WILLIAMS SS VIA HENDERSON,3,FFFFFF,626469,YRT,428,,,428
THORNHILL,3,FFFFFF,A54686,YRT,3,,,003
ST THERESA SS VIA JEFFERSON FOREST,3,FFFFFF,626469,YRT,447,,,447
MARKHAM LOCAL,3,FFFFFF,F28AB2,YRT,522,,,522
MARKHAM EXPRESS,3,FFFFFF,0079C1,YRT,301,,,301
NEWMARKET SS VIA SAVAGE,3,FFFFFF,626469,YRT,420,,,420
