parent_station,stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,preferred,stop_url,stop_id,stop_desc,stop_name,location_type,platform_code,zone_id
,43.843036,1,4669,-79.414573,,1,,4669,,HIGH TECH RD / SILVER LINDEN DR,0,,1
,43.893656,1,1867,-79.311592,,1,,1867,,WILLIAM BERCZY BLVD / WEATHERILL RD,0,,1
,43.799455,1,3418,-79.58489,,1,,3418,,ISLINGTON AV / HAYHOE LANE,0,,1
,43.891759,2,1866,-79.310087,,1,,1866,,WILLIAM BERCZY BLVD / GABLE AV,0,,1
,43.854697,1,5745,-79.48606,,1,,5745,,DUFFERIN ST / IVY GLEN DR,0,,1
18,43.809497,1,4026,-79.453914,,1,,4026,1 PROMENADE CIR PROMENADE TERMINAL & PLATFORM 4,PROMENADE TERMINAL PLATFORM 4,0,4,1
18,43.80934,1,4027,-79.454,,1,,4027,1 PROMENADE CIR PROMENADE TERMINAL & PLATFORM 5,PROMENADE TERMINAL PLATFORM 5,0,5,1
18,43.809682,1,4024,-79.454219,,1,,4024,1 PROMENADE CIR PROMENADE TERMINAL & PLATFORM 1,PROMENADE TERMINAL PLATFORM 1,0,1,1
18,43.809727,1,4025,-79.453986,,1,,4025,1 PROMENADE CIR PROMENADE TERMINAL & PLATFORM 2,PROMENADE TERMINAL PLATFORM 2,0,2,1
,43.808389,1,4022,-79.461283,,1,,4022,,CENTRE ST / TAIGA DR,0,,1
,43.809223,1,4023,-79.457557,,1,,4023,,CENTRE ST / NEW WESTMINSTER DR,0,,1
,43.807642,1,4021,-79.464577,,1,,4021,,CENTRE ST / CARL TENNEN ST,0,,1
,43.993501,1,5988,-79.447185,,1,,5988,,STONE RD STOP # 5988,0,,1
,43.869915,2,5989,-79.333086,,1,,5989,,CARLTON RD / LIEBECK CRES,0,,1
,43.877726,1,5983,-79.286113,,1,,5983,2 RAYMERVILLE DR,HAMPTON GREEN STOP # 5983,0,,1
,43.867184,1,5980,-79.294298,,1,,5980,55 AUSTIN DR & KARMA RD,AUSTIN DR / KARMA RD,0,,1
,43.867186,1,5981,-79.29375,,1,,5981,25 AUSTIN DR & KARMA RD,AUSTIN DR STOP # 5981,0,,1
,43.889528,1,5986,-79.232011,,1,,5986,,CORNELL PARK AV / WALKERVILLE RD,0,,1
,43.869987,1,5987,-79.449496,,1,,5987,,TRENCH ST STOP # 5987,0,,1
,43.872225,1,5984,-79.266436,,1,,5984,5762 HIGHWAY 7,GORD'S NO FRILLS STOP # 5984,0,,1
,43.874952,1,5985,-79.260181,,1,,5985,,MAIN ST MARKHAM / THOMSON CRT,0,,1
,44.011754,2,7517,-79.435546,,,,7517,,MAVRINAC BLVD / MCLARTY GT,0,,1
,44.009854,2,7516,-79.434565,,,,7516,,MAVRINAC BLVD / PATTEMORE GT,0,,1
,44.020314,2,7515,-79.441473,,,,7515,,HARTWELL WAY / USHERWOOD ST,0,,1
,44.127253,1,7514,-79.453514,,,,7514,,JIM MORTSON DR / PETAL AV,0,,1
,44.126495,1,7513,-79.450082,,,,7513,,JIM MORTSON DR / BLACK LOTUS RD,0,,1
,44.01941,2,7512,-79.444987,,,,7512,,HARTWELL WAY / CONOVER AV,0,,1
,43.829489,1,3999,-79.480908,,1,,3999,,CONFEDERATION PKWY / DUFFERIN ST,0,,1
,43.829855,1,3998,-79.480317,,1,,3998,,DUFFERIN ST / CONFEDERATION PKWY,0,,1
,43.836171,1,3997,-79.481717,,1,,3997,,DUFFERIN ST / TEN OAKS BLVD,0,,1
,43.839922,1,3996,-79.482598,,1,,3996,,DUFFERIN ST / DUFFERIN HILL DR,0,,1
,43.802951,1,3995,-79.500223,,1,,3995,,KEELE ST / ADMINISTRATION RD,0,,1
,43.806255,1,3994,-79.501032,,1,,3994,,KEELE ST STOP # 3994,0,,1
,43.808481,1,3993,-79.501591,,1,,3993,,KEELE ST / RIVERMEDE RD,0,,1
,43.811577,1,3992,-79.502354,,1,,3992,,KEELE ST STOP # 3992,0,,1
,43.814987,1,3991,-79.503226,,1,,3991,,KEELE ST / BOWES RD,0,,1
,43.818744,1,3990,-79.504144,,1,,3990,,KEELE ST / LANGSTAFF RD,0,,1
,43.972606,2,4686,-79.461297,,1,,4686,,YONGE ST / RIDGE RD,0,,1
,43.962687,1,9796,-79.458595,,1,,9796,13723 Yonge St YONGE ST & BLOOMINGTON RD,YONGE / BLOOMINGTON,0,,1
,43.994172,1,4684,-79.466302,,1,,4684,,YONGE ST / KENNEDY ST,0,,1
,43.867234,1,6150,-79.385611,,1,,6150,,BRODIE DR STOP # 6150,0,,1
,43.869696,2,6151,-79.386453,,1,,6151,,BRODIE DR / ORLANDO DR,0,,1
,43.958786,1,6152,-79.246308,,1,,6152,,REEVES WAY BLVD / KEN LAUSHWAY AV,0,,1
,43.953787,2,6153,-79.502292,,1,,6153,,15TH SDRD STOP # 6153,0,,1
,43.946208,2,6154,-79.465515,,1,,6154,,PARKER AV / MAPLE GROVE AV,0,,1
,43.879252,1,6155,-79.235086,,1,,6155,,NINTH LINE / HIGHWAY 7,0,,1
,43.865279,1,6156,-79.228887,,1,,6156,,BOX GROVE BYPASS / COPPER CREEK DR,0,,1
,43.895352,1,1296,-79.235427,,1,,1296,,WHITE'S HILL AV / COUNTRY GLEN RD,0,,1
,43.888581,1,6158,-79.362196,,1,,6158,,HAZELTON AV / ADASTRA CRES,0,,1
,43.890459,1,6159,-79.363709,,1,,6159,,HAZELTON AV / ROCKLIFFE GT,0,,1
,43.813884,1,3381,-79.616569,,1,,3381,,NAPA VALLEY AV / RUTHERFORD RD,0,,1
,43.996791,1,4683,-79.46697,,1,,4683,,YONGE ST / CHURCH ST,0,,1
,43.793673,1,4732,-79.527575,,1,,4732,,HIGHWAY 7 / MILLWAY AV,0,,1
,43.76757,1,4733,-79.64717,,1,,4733,INTERCHANGE-ROAD ALLOWANCE & HUNTINGTON RD,HIGHWAY 7 / HUNTINGTON RD,0,,1
,43.850916,1,6792,-79.352661,,1,,6792,,HIGHWAY 7 / MONTGOMERY CT,0,,1
,43.851326,1,6793,-79.351627,,1,,6793,,HIGHWAY 7 / MONTGOMERY CT,0,,1
,43.793284,1,4734,-79.527354,,1,,4734,,HIGHWAY 7 / MILLWAY AV,0,,1
,43.802036,1,2319,-79.4213,,1,,2319,,YONGE ST / DONCASTER AV,0,,1
,43.814736,1,2316,-79.424259,,1,,2316,,YONGE ST / JOHN ST,0,,1
,43.811126,1,2317,-79.423491,,1,,2317,,YONGE ST / ARNOLD AV,0,,1
,43.826823,1,2314,-79.427091,,1,,2314,,YONGE ST / UPLANDS AV,0,,1
,43.825278,1,2315,-79.42672,,1,,2315,,YONGE ST / THORNHILL AV,0,,1
,43.83072,1,2312,-79.42804,,1,,2312,,YONGE ST / LONGBRIDGE RD,0,,1
,43.828851,2,2313,-79.427575,,1,,2313,,YONGE ST / BUNKER RD,0,,1
,43.836591,1,2310,-79.429351,,1,,2310,,YONGE ST STOP # 2310,0,,1
,43.832738,1,2311,-79.428506,,1,,2311,,YONGE ST / LANGSTAFF RD,0,,1
,43.925673,2,5854,-79.246432,,1,,5854,NINTH LINE STOP # 5854,NINTH LINE  STOP # 5854,0,,1
,43.925651,2,5855,-79.246719,,1,,5855,,NINTH LINE STOP # 5855,0,,1
,43.919984,2,5856,-79.244991,,1,,5856,,NINTH LINE STOP # 5856,0,,1
,43.919986,2,5857,-79.245332,,1,,5857,,NINTH LINE STOP # 5857,0,,1
,43.910949,2,5850,-79.52345,,1,,5850,,KEELE ST / KING VAUGHAN RD,0,,1
,43.882924,1,5851,-79.240992,,1,,5851,,CHURCH ST / ROSE WAY,0,,1
,43.91529,1,5852,-79.243825,,1,,5852,,NINTH LINE / MAJOR MACKENZIE DR,0,,1
,44.007426,2,4830,-79.444519,,1,,4830,,BAYVIEW AV STOP # 4830,0,,1
,44.237937,2,5859,-79.470912,,1,,5859,,METRO RD / GWENDOLYN BLVD,0,,1
,43.796871,1,3773,-79.532531,,1,,3773,101 EDGELEY BLVD & PORTAGE PKWAY,EDGELEY BLVD / PORTAGE PKWAY,0,,1
,43.916375,1,4524,-79.43706,,1,,4524,JEFFERSON FOREST DR & SHADOW FALLS DR,JEFFERSON FOREST DR / SHADOW FALLS,0,,1
,43.915613,1,4522,-79.433112,,1,,4522,JEFFERSON FOREST DR & BUSH RIDGES AV,JEFFERSON FOREST DR / BUSH RIDGES A,0,,1
,44.037692,2,4655,-79.468965,,1,,4655,,SANDFORD ST / MULOCK DR,0,,1
,44.040113,1,4654,-79.468844,,1,,4654,,SANDFORD ST / LLOYD AV,0,,1
,44.057374,1,4657,-79.466081,,1,,4657,,LORNE AV / DAVIS DR,0,,1
,44.035696,1,4656,-79.46834,,1,,4656,,SANDFORD ST / STELLICK AV,0,,1
,44.049338,1,4651,-79.462951,,1,,4651,,LORNE AV / EAGLE ST,0,,1
,44.052232,1,4650,-79.464121,,1,,4650,,LORNE AV / PARK AV,0,,1
,44.042635,2,4653,-79.469965,,1,,4653,,SANDFORD ST / HANDLEY CRES,0,,1
,44.045666,1,4652,-79.471041,,1,,4652,,SANDFORD ST / DON MOR DR,0,,1
,43.913066,2,4520,-79.435952,,1,,4520,,SHADOW FALLS DR / WOLF TRAIL CRES,0,,1
,43.990984,2,4659,-79.48015,,1,,4659,,KENNEDY ST / MURRAY DR,0,,1
,43.989096,2,4658,-79.4924,,1,,4658,,KENNEDY ST / BATHURST ST,0,,1
,43.816642,2,4411,-79.597969,,1,,4411,9185-9299 ISLINGTON AV & AL PALLADINI COMMUNITY CENTRE,AL PALLADINI C.C STOP # 4411,0,,1
18,43.809631,1,5332,-79.453891,,1,,5332,1 PROMENADE CIR PROMENADE TERMINAL & PLATFORM 3,PROMENADE TERMINAL PLATFORM 3,0,3,1
,44.054135,1,2006,-79.429154,,1,,2006,,LESLIE ST / CROWDER BLVD,0,,1
,43.944679,1,2373,-79.436848,,1,,2373,,SUNSET BEACH RD / PARK CRES,0,,1
