block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_200521,1,20,1,1,Pioneer Village Terminal - SB,82762,153.0.1,1979203,
b_200522,1,20,1,1,Pioneer Village Terminal - SB,82762,153.0.1,1979202,
b_200514,1,20,1,1,Pioneer Village Terminal - SB,82762,153.0.1,1979201,
b_200520,1,20,1,1,Pioneer Village Terminal - SB,82762,153.0.1,1979200,
b_200518,1,20,1,1,Pioneer Village Terminal - SB,82762,153.0.1,1979207,
b_200519,1,20,1,1,Pioneer Village Terminal - SB,82762,153.0.1,1979206,
b_200515,1,20,1,1,Pioneer Village Terminal - SB,82762,153.0.1,1979205,
b_200516,1,20,1,1,Pioneer Village Terminal - SB,82762,153.0.1,1979204,
b_200514,1,20,1,1,Pioneer Village Terminal - SB,82762,153.0.1,1979209,
b_200520,1,20,1,1,Pioneer Village Terminal - SB,82762,153.0.1,1979208,
b_199853,2,601,1,0,Newmarket Terminal - NB,82499,153.0.2,1971070,
b_199862,2,601,1,0,Newmarket Terminal - NB,82499,153.0.2,1971071,
b_199859,2,601,1,0,Newmarket Terminal - NB,82499,153.0.2,1971072,
b_199846,2,601,1,0,Newmarket Terminal - NB,82499,153.0.2,1971073,
b_199847,2,601,1,0,Newmarket Terminal - NB,82499,153.0.2,1971074,
b_199849,1,601,1,0,Newmarket Terminal - NB,82499,153.0.2,1971075,
b_199848,1,601,1,0,Newmarket Terminal - NB,82499,153.0.2,1971076,
b_199861,1,601,1,0,Newmarket Terminal - NB,82499,153.0.2,1971077,
b_199844,1,601,1,0,Newmarket Terminal - NB,82499,153.0.2,1971078,
b_199845,1,601,1,0,Newmarket Terminal - NB,82499,153.0.2,1971079,
b_200156,1,18,1,0,Cornell Bus Terminal - EB,82615,153.0.1,1975555,
b_200298,1,18,1,0,Cornell Bus Terminal - EB,82615,153.0.1,1975554,
b_200277,1,18,1,0,Cornell Bus Terminal - EB,82615,153.0.1,1975553,
b_200152,1,18,1,0,Cornell Bus Terminal - EB,82615,153.0.1,1975552,
b_200153,1,18,1,0,Cornell Bus Terminal - EB,82615,153.0.1,1975551,
b_200152,1,18,1,0,Cornell Bus Terminal - EB,82615,153.0.1,1975550,
b_199894,1,601,1,1,Finch GO Bus Terminal - SB,82501,153.0.3,1971694,
b_199895,2,601,1,1,Finch GO Bus Terminal - SB,82501,153.0.3,1971695,
b_199896,2,601,1,1,Finch GO Bus Terminal - SB,82501,153.0.3,1971696,
b_199897,2,601,1,1,Finch GO Bus Terminal - SB,82501,153.0.3,1971697,
b_199897,1,601,1,0,Newmarket Terminal - NB,82499,153.0.3,1971690,
b_199896,1,601,1,0,Newmarket Terminal - NB,82499,153.0.3,1971691,
b_199895,1,601,1,0,Newmarket Terminal - NB,82499,153.0.3,1971692,
b_199894,1,601,1,0,Newmarket Terminal - NB,82499,153.0.3,1971693,
b_199898,2,601,1,1,Finch GO Bus Terminal - SB,82501,153.0.3,1971698,
b_199899,2,601,1,1,Finch GO Bus Terminal - SB,82501,153.0.3,1971699,
a_198951,1,522,1,1,Hagerman's Corners via Kennedy Road - WB,82277,152.0.1,1958365,
a_198950,1,522,1,1,Hagerman's Corners via Kennedy Road - WB,82278,152.0.1,1958364,
a_198950,1,522,1,1,Hagerman's Corners via Kennedy Road - WB,82278,152.0.1,1958366,
a_198951,1,522,1,1,Hagerman's Corners via Kennedy Road - WB,82278,152.0.1,1958361,
a_198950,1,522,1,1,Hagerman's Corners via Kennedy Road - WB,82278,152.0.1,1958360,
a_198951,1,522,1,1,Hagerman's Corners via Kennedy Road - WB,82278,152.0.1,1958363,
a_198950,1,522,1,1,Hagerman's Corners via Kennedy Road - WB,82278,152.0.1,1958362,
b_199934,1,60301,1,1,Richmond Hill Centre via Enterprise Boulevard - WB,82508,153.0.80,1972529,
b_199935,2,60301,1,1,Richmond Hill Centre via Enterprise Boulevard - WB,82508,153.0.80,1972528,
b_199933,1,60301,1,1,Richmond Hill Centre via Enterprise Boulevard - WB,82508,153.0.80,1972527,
b_199934,1,60301,1,1,Richmond Hill Centre via Enterprise Boulevard - WB,82508,153.0.80,1972526,
b_199935,1,60301,1,1,Richmond Hill Centre via Enterprise Boulevard - WB,82508,153.0.80,1972525,
b_199933,1,60301,1,1,Richmond Hill Centre via Enterprise Boulevard - WB,82508,153.0.80,1972524,
b_199934,1,60301,1,1,Richmond Hill Centre via Enterprise Boulevard - WB,82508,153.0.80,1972523,
b_199935,1,60301,1,1,Richmond Hill Centre via Enterprise Boulevard - WB,82508,153.0.80,1972522,
b_199933,1,60301,1,1,Richmond Hill Centre via Enterprise Boulevard - WB,82508,153.0.80,1972521,
b_199935,2,60301,1,1,Richmond Hill Centre via Enterprise Boulevard - WB,82508,153.0.80,1972520,
b_200480,1,4,1,0,Woodbine Avenue - EB,82736,153.0.1,1978648,
b_200479,1,4,1,0,Woodbine Avenue - EB,82736,153.0.1,1978649,
b_200481,1,4,1,0,Woodbine Avenue - EB,82736,153.0.1,1978644,
b_200478,1,4,1,0,Woodbine Avenue - EB,82736,153.0.1,1978645,
b_200477,1,4,1,0,Woodbine Avenue - EB,82736,153.0.1,1978646,
b_200476,1,4,1,0,Woodbine Avenue - EB,82736,153.0.1,1978647,
b_200477,1,4,1,0,Woodbine Avenue - EB,82736,153.0.1,1978640,
b_200476,1,4,1,0,Woodbine Avenue - EB,82736,153.0.1,1978641,
b_200480,1,4,1,0,Woodbine Avenue - EB,82736,153.0.1,1978642,
b_200479,1,4,1,0,Woodbine Avenue - EB,82736,153.0.1,1978643,
b_200801,1,165,1,1,Pioneer Village Terminal - SB,82833,153.0.3,1982719,
b_200800,1,165,1,1,Pioneer Village Terminal - SB,82833,153.0.3,1982718,
b_200304,1,18,1,0,Cornell Bus Terminal - EB,82615,153.0.1,1975559,
b_200800,1,165,1,0,Major Mackenzie West Terminal - NB,82832,153.0.3,1982713,
b_200801,1,165,1,0,Major Mackenzie West Terminal - NB,82832,153.0.3,1982712,
b_200800,1,165,1,0,Major Mackenzie West Terminal - NB,82832,153.0.3,1982711,
b_200156,1,18,1,0,Cornell Bus Terminal - EB,82615,153.0.1,1975558,
b_200801,1,165,1,1,Pioneer Village Terminal - SB,82833,153.0.3,1982717,
b_200800,1,165,1,1,Pioneer Village Terminal - SB,82833,153.0.3,1982716,
b_200800,1,165,1,0,Major Mackenzie West Terminal - NB,82832,153.0.3,1982715,
b_200801,1,165,1,0,Major Mackenzie West Terminal - NB,82832,153.0.3,1982714,
a_198628,1,605,1,1,Martin Grove Road - WB,82142,152.0.3,1955623,
a_198632,1,605,1,1,Martin Grove Road - WB,82142,152.0.3,1955622,
a_198631,1,605,1,1,Martin Grove Road - WB,82142,152.0.3,1955621,
a_198629,1,605,1,1,Martin Grove Road - WB,82142,152.0.3,1955620,
a_198628,1,605,1,1,Martin Grove Road - WB,82142,152.0.3,1955627,
a_198632,1,605,1,1,Martin Grove Road - WB,82142,152.0.3,1955626,
a_198631,1,605,1,1,Martin Grove Road - WB,82142,152.0.3,1955625,
a_198629,1,605,1,1,Martin Grove Road - WB,82142,152.0.3,1955624,
a_198631,1,605,1,1,Martin Grove Road - WB,82142,152.0.3,1955629,
a_198629,1,605,1,1,Martin Grove Road - WB,82142,152.0.3,1955628,
b_199987,1,607,1,0,Highway 404 Park and Ride - EB,82583,153.0.1,1973348,
b_199988,1,607,1,0,Highway 404 Park and Ride - EB,82583,153.0.1,1973349,
b_199956,1,437,1,0,St Maximilian Kolbe School Special via Mavrinac - MO,82581,153.24611.1,1973340,
b_200012,1,437,1,1,St Maximilian Kolbe School Special via Mavrinac - AF,82582,153.24611.1,1973341,
b_199987,1,607,1,0,Highway 404 Park and Ride - EB,82583,153.0.1,1973342,
b_199988,1,607,1,0,Highway 404 Park and Ride - EB,82583,153.0.1,1973343,
b_199989,1,607,1,0,Highway 404 Park and Ride - EB,82583,153.0.1,1973344,
b_199987,1,607,1,0,Highway 404 Park and Ride - EB,82583,153.0.1,1973345,
b_199988,1,607,1,0,Highway 404 Park and Ride - EB,82583,153.0.1,1973346,
b_199989,1,607,1,0,Highway 404 Park and Ride - EB,82583,153.0.1,1973347,
a_198997,1,90,1,0,John Birchall Road - NB,82196,152.0.2,1958941,
a_198995,1,90,1,0,John Birchall Road - NB,82196,152.0.2,1958940,
a_198995,1,90,1,0,John Birchall Road - NB,82196,152.0.2,1958943,
a_198996,1,90,1,0,John Birchall Road - NB,82196,152.0.2,1958942,
a_198996,1,90,1,0,John Birchall Road - NB,82196,152.0.2,1958945,
a_198997,1,90,1,0,John Birchall Road - NB,82196,152.0.2,1958944,
a_198997,1,90,1,1,Don Mills Station - SB,82198,152.0.2,1958947,
a_198995,1,90,1,0,John Birchall Road - NB,82196,152.0.2,1958946,
a_198997,1,90,1,1,Don Mills Station - SB,82199,152.0.2,1958949,
a_198995,1,90,1,1,Don Mills Station - SB,82199,152.0.2,1958948,
b_200685,1,320,1,0,Major Mackenzie West Terminal - NB,82834,153.0.1,1980412,
b_200724,1,320,1,0,Major Mackenzie West Terminal - NB,82834,153.0.1,1980413,
b_200683,1,320,1,0,Major Mackenzie West Terminal - NB,82834,153.0.1,1980410,
b_200684,1,320,1,0,Major Mackenzie West Terminal - NB,82834,153.0.1,1980411,
b_200684,1,320,1,0,Major Mackenzie West Terminal - NB,82834,153.0.1,1980416,
b_200685,1,320,1,0,Major Mackenzie West Terminal - NB,82834,153.0.1,1980417,
