service_id,date,exception_type
149.24603.3,20250831,1
149.24604.3,20250831,1
149.0.80,20250901,1
149.0.1,20250901,2
149.24610.1,20250902,1
149.24611.1,20250902,1
149.24612.1,20250902,1
149.24610.1,20250903,1
149.24611.1,20250903,1
149.24612.1,20250903,1
149.24610.1,20250904,1
149.24611.1,20250904,1
149.24612.1,20250904,1
149.24610.1,20250905,1
149.24611.1,20250905,1
149.24612.1,20250905,1
149.34972.1,20250905,1
149.24603.2,20250906,1
149.24603.3,20250907,1
149.24610.1,20250908,1
149.24611.1,20250908,1
149.24612.1,20250908,1
149.24610.1,20250909,1
149.24611.1,20250909,1
149.24612.1,20250909,1
149.24610.1,20250910,1
149.24611.1,20250910,1
149.24612.1,20250910,1
149.24610.1,20250911,1
149.24611.1,20250911,1
149.24612.1,20250911,1
149.24610.1,20250912,1
149.24611.1,20250912,1
149.24612.1,20250912,1
149.34972.1,20250912,1
149.24603.2,20250913,1
149.24603.3,20250914,1
149.24610.1,20250915,1
149.24611.1,20250915,1
149.24612.1,20250915,1
149.24610.1,20250916,1
149.24611.1,20250916,1
149.24612.1,20250916,1
149.24610.1,20250917,1
149.24611.1,20250917,1
149.24612.1,20250917,1
149.24610.1,20250918,1
149.24611.1,20250918,1
149.24612.1,20250918,1
149.24610.1,20250919,1
149.24611.1,20250919,1
149.24612.1,20250919,1
149.34972.1,20250919,1
149.24603.2,20250920,1
149.24603.3,20250921,1
149.24610.1,20250922,1
149.24611.1,20250922,1
149.24612.1,20250922,1
149.24610.1,20250923,1
149.24611.1,20250923,1
149.24612.1,20250923,1
149.24610.1,20250924,1
149.24611.1,20250924,1
149.24612.1,20250924,1
149.24610.1,20250925,1
149.24611.1,20250925,1
149.24612.1,20250925,1
149.34972.1,20250926,1
149.24603.2,20250927,1
149.34972.2,20250927,1
149.24603.3,20250928,1
149.34972.3,20250928,1
149.24610.1,20250929,1
149.24611.1,20250929,1
149.24612.1,20250929,1
149.24610.1,20250930,1
149.24611.1,20250930,1
149.24612.1,20250930,1
149.24610.1,20251001,1
149.24611.1,20251001,1
149.24612.1,20251001,1
149.24610.1,20251002,1
149.24611.1,20251002,1
149.24612.1,20251002,1
149.24610.1,20251003,1
149.24611.1,20251003,1
149.24612.1,20251003,1
149.34972.1,20251003,1
149.24603.2,20251004,1
149.34972.2,20251004,1
149.24603.3,20251005,1
149.34972.3,20251005,1
149.24610.1,20251006,1
149.24611.1,20251006,1
149.24612.1,20251006,1
149.24610.1,20251007,1
149.24611.1,20251007,1
149.24612.1,20251007,1
149.24610.1,20251008,1
149.24611.1,20251008,1
149.24612.1,20251008,1
149.24610.1,20251009,1
149.24611.1,20251009,1
149.24612.1,20251009,1
149.24610.1,20251010,1
149.24611.1,20251010,1
149.24612.1,20251010,1
149.34972.1,20251010,1
149.24603.2,20251011,1
149.34972.2,20251011,1
149.24603.3,20251012,1
149.34972.3,20251012,1
149.0.81,20251013,1
149.0.1,20251013,2
149.24610.1,20251014,1
149.24611.1,20251014,1
149.24612.1,20251014,1
149.24610.1,20251015,1
149.24611.1,20251015,1
149.24612.1,20251015,1
149.24610.1,20251016,1
149.24611.1,20251016,1
149.24612.1,20251016,1
149.24610.1,20251017,1
149.24611.1,20251017,1
149.24612.1,20251017,1
149.34972.1,20251017,1
149.24603.2,20251018,1
149.34972.2,20251018,1
149.24603.3,20251019,1
149.34972.3,20251019,1
149.24610.1,20251020,1
149.24611.1,20251020,1
149.24612.1,20251020,1
149.24610.1,20251021,1
149.24611.1,20251021,1
149.24612.1,20251021,1
149.24610.1,20251022,1
149.24611.1,20251022,1
149.24612.1,20251022,1
149.24610.1,20251023,1
149.24611.1,20251023,1
149.24612.1,20251023,1
149.34972.1,20251024,1
149.24603.2,20251025,1
149.34972.2,20251025,1
149.24603.3,20251026,1
149.34972.3,20251026,1
149.24611.1,20251027,1
149.24612.1,20251027,1
149.24611.1,20251028,1
149.24612.1,20251028,1
149.24611.1,20251029,1
149.24612.1,20251029,1
149.24611.1,20251030,1
149.24612.1,20251030,1
149.24611.1,20251031,1
149.24612.1,20251031,1
149.34972.1,20251031,1
149.24603.2,20251101,1
149.34972.2,20251101,1
